epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459499835968018,0.5299230813980103,,,,
0,49,,,0.9405728578567505,0.2332574725151062,,
0,49,,,,,0.7211973071098328,0.46830669045448303
1,99,,,0.9536865949630737,0.2381824553012848,,
1,99,,,,,0.7278395891189575,0.47712862491607666
2,149,,,0.9706653356552124,0.14066246151924133,,
2,149,,,,,0.7152984142303467,0.49578630924224854
3,199,,,0.9719076156616211,0.20562610030174255,,
3,199,,,,,0.7004807591438293,0.5239421725273132
4,249,,,0.9747275114059448,0.18052932620048523,,
4,249,,,,,0.6935257911682129,0.5353648662567139
5,299,,,0.9700886607170105,0.22101789712905884,,
5,299,,,,,0.6948633790016174,0.5428956747055054
6,349,,,0.9730592370033264,0.15849879384040833,,
6,349,,,,,0.6938378214836121,0.5516150593757629
7,399,,,0.9842550158500671,0.18865321576595306,,
7,399,,,,,0.6850662231445312,0.5605179667472839
8,449,,,0.9812516570091248,0.18240122497081757,,
8,449,,,,,0.681697428226471,0.5657868385314941
9,499,,,0.9799266457557678,0.18385618925094604,,
9,499,,,,,0.6800304651260376,0.5684417486190796
10,549,,,0.9837843775749207,0.16584238409996033,,
10,549,,,,,0.6782899498939514,0.5718699097633362
11,599,,,0.9880446195602417,0.1938248723745346,,
11,599,,,,,0.6768774390220642,0.5734385848045349
12,649,,,0.9824521541595459,0.21942238509655,,
12,649,,,,,0.6753447651863098,0.5751343965530396
13,699,,,0.9798362851142883,0.21317645907402039,,
13,699,,,,,0.6723395586013794,0.5781251192092896
14,749,,,0.9847290515899658,0.1881997287273407,,
14,749,,,,,0.6736772060394287,0.5775948762893677
15,799,,,0.9899532794952393,0.21592724323272705,,
15,799,,,,,0.674246072769165,0.5768455862998962
16,849,,,0.9868414998054504,0.19423194229602814,,
16,849,,,,,0.6740413904190063,0.5772568583488464
17,899,,,0.9804482460021973,0.1371488869190216,,
17,899,,,,,0.6731967329978943,0.5786285996437073
18,949,,,0.9777368307113647,0.18483072519302368,,
18,949,,,,,0.672330379486084,0.5791656970977783
19,999,,,0.9838647246360779,0.1807258129119873,,
19,999,,,,,0.672052800655365,0.5793083906173706
20,1049,,,0.9861604571342468,0.18646353483200073,,
20,1049,,,,,0.6720874309539795,0.5793392658233643
21,1099,,,0.9843595027923584,0.20314554870128632,,
21,1099,,,,,0.6719096302986145,0.5794967412948608
22,1149,,,0.9890367388725281,0.1547069251537323,,
22,1149,,,,,0.6721718311309814,0.5793233513832092
23,1199,,,0.9852755665779114,0.1951918751001358,,
23,1199,,,,,0.6723204851150513,0.5794133543968201
24,1249,,,0.9820832014083862,0.16675595939159393,,
24,1249,,,,,0.6724280118942261,0.5793179273605347
25,1299,,,0.9799670577049255,0.18277209997177124,,
25,1299,,,,,0.6723557114601135,0.579360842704773
26,1349,,,0.9858422875404358,0.1563521921634674,,
26,1349,,,,,0.6723310351371765,0.5794141888618469
27,1399,,,0.9870973825454712,0.17901626229286194,,
27,1399,,,,,0.6723023056983948,0.5794498324394226
28,1449,,,0.9826776385307312,0.18125563859939575,,
28,1449,,,,,0.672327995300293,0.5794305801391602
29,1499,,,0.9854734539985657,0.17399604618549347,,
29,1499,,,,,0.6722568869590759,0.5794709324836731
30,1549,,,0.9843318462371826,0.17999055981636047,,
30,1549,,,,,0.6723018884658813,0.5794703960418701
31,1599,,,0.9851552844047546,0.1720675379037857,,
31,1599,,,,,0.6722974181175232,0.5794769525527954
32,1649,,,0.9801149368286133,0.19154872000217438,,
32,1649,,,,,0.6722912788391113,0.5794816017150879
33,1699,,,0.9897939562797546,0.1921430379152298,,
33,1699,,,,,0.6723029613494873,0.5794787406921387
34,1749,,,0.9857496023178101,0.17172642052173615,,
34,1749,,,,,0.6722926497459412,0.5794832706451416
35,1799,,,0.9823200702667236,0.12872092425823212,,
35,1799,,,,,0.6722645163536072,0.5794860124588013
36,1849,,,0.9872799515724182,0.20903079211711884,,
36,1849,,,,,0.6722614169120789,0.579491138458252
37,1899,,,0.9799986481666565,0.16096217930316925,,
37,1899,,,,,0.6722655892372131,0.5794910192489624
38,1949,,,0.9823276400566101,0.22698234021663666,,
38,1949,,,,,0.6722747087478638,0.579495906829834
39,1999,,,0.9864012002944946,0.1710909605026245,,
39,1999,,,,,0.6722864508628845,0.5794954895973206
40,2049,,,0.9861903786659241,0.1869189590215683,,
40,2049,,,,,0.6722691059112549,0.579500138759613
41,2099,,,0.9868037104606628,0.1630772352218628,,
41,2099,,,,,0.672267735004425,0.579501211643219
42,2149,,,0.9878870844841003,0.1858978569507599,,
42,2149,,,,,0.6722652912139893,0.5794997215270996
43,2199,,,0.9886224865913391,0.1695719212293625,,
43,2199,,,,,0.6722580194473267,0.5795024037361145
44,2249,,,0.9813823699951172,0.13625316321849823,,
44,2249,,,,,0.6722775101661682,0.579505205154419
45,2299,,,0.977800726890564,0.18535660207271576,,
45,2299,,,,,0.6722169518470764,0.5795071721076965
46,2349,,,0.9878799319267273,0.1937042623758316,,
46,2349,,,,,0.6722717881202698,0.5795104503631592
47,2399,,,0.9913550019264221,0.1526217758655548,,
47,2399,,,,,0.6722701787948608,0.5795160531997681
48,2449,,,0.9838612079620361,0.19612941145896912,,
48,2449,,,,,0.6722455024719238,0.5795161724090576
49,2499,,,0.98454350233078,0.21842774748802185,,
49,2499,,,,,0.6722216606140137,0.5795263051986694
50,2549,,,0.9805916547775269,0.18283338844776154,,
50,2549,,,,,0.6722165942192078,0.5795291066169739
51,2599,,,0.9833000302314758,0.16554926335811615,,
51,2599,,,,,0.6722537875175476,0.579534649848938
52,2649,,,0.9809415936470032,0.17604227364063263,,
52,2649,,,,,0.6722218990325928,0.5795454382896423
53,2699,,,0.9841235876083374,0.15011951327323914,,
53,2699,,,,,0.6722109317779541,0.5795533061027527
54,2749,,,0.9885947704315186,0.17744103074073792,,
54,2749,,,,,0.6722023487091064,0.5795548558235168
55,2799,,,0.9842147827148438,0.1580231636762619,,
55,2799,,,,,0.6721778512001038,0.5795588493347168
56,2849,,,0.9789983034133911,0.15376996994018555,,
56,2849,,,,,0.6722099781036377,0.5795571804046631
57,2899,,,0.9827299118041992,0.18891766667366028,,
57,2899,,,,,0.6721726655960083,0.5795606970787048
58,2949,,,0.9784008860588074,0.1760745346546173,,
58,2949,,,,,0.67220139503479,0.5795599222183228
59,2999,,,0.9813246726989746,0.18224100768566132,,
59,2999,,,,,0.6722026467323303,0.5795631408691406
60,3049,,,0.9840489029884338,0.22631603479385376,,
60,3049,,,,,0.672186553478241,0.5795645117759705
61,3099,,,0.9888820648193359,0.16169525682926178,,
61,3099,,,,,0.672187089920044,0.579563319683075
62,3149,,,0.9813855886459351,0.1677226573228836,,
62,3149,,,,,0.6721729636192322,0.5795683860778809
63,3199,,,0.9812541604042053,0.17421604692935944,,
63,3199,,,,,0.6721756458282471,0.5795629024505615
64,3249,,,0.9889858961105347,0.15360021591186523,,
64,3249,,,,,0.6721624732017517,0.5795673131942749
65,3299,,,0.9833112955093384,0.1579587757587433,,
65,3299,,,,,0.672193169593811,0.5795673727989197
66,3349,,,0.9847668409347534,0.2031325101852417,,
66,3349,,,,,0.6721686124801636,0.5795671939849854
67,3399,,,0.9813241958618164,0.14537782967090607,,
67,3399,,,,,0.6721561551094055,0.5795587301254272
68,3449,,,0.9828765988349915,0.21993155777454376,,
68,3449,,,,,0.6721822619438171,0.579555094242096
69,3499,,,0.9848233461380005,0.17223790287971497,,
69,3499,,,,,0.6721829771995544,0.5795494914054871
70,3549,,,0.986503005027771,0.1785406917333603,,
70,3549,,,,,0.672208845615387,0.579549252986908
71,3599,,,0.9881725311279297,0.20099587738513947,,
71,3599,,,,,0.6721787452697754,0.579553484916687
72,3649,,,0.9846782684326172,0.21044094860553741,,
72,3649,,,,,0.6721559762954712,0.579568088054657
73,3699,,,0.9819388389587402,0.21224011480808258,,
73,3699,,,,,0.67216956615448,0.5795589685440063
74,3749,,,0.980651319026947,0.21381480991840363,,
74,3749,,,,,0.6721457242965698,0.5795618891716003
75,3799,,,0.9819719791412354,0.20544588565826416,,
75,3799,,,,,0.6721863150596619,0.579559862613678
76,3849,,,0.9809451103210449,0.1753409206867218,,
76,3849,,,,,0.6722023487091064,0.5795589089393616
77,3899,,,0.984383225440979,0.1883353590965271,,
77,3899,,,,,0.6722210645675659,0.5795577764511108
78,3949,,,0.9860199689865112,0.20313099026679993,,
78,3949,,,,,0.6722006797790527,0.5795665979385376
79,3999,,,0.980193555355072,0.22121213376522064,,
79,3999,,,,,0.672182559967041,0.5795766711235046
80,4049,,,0.9746557474136353,0.1789252907037735,,
80,4049,,,,,0.6721745133399963,0.5795775055885315
81,4099,,,0.9839732646942139,0.20460042357444763,,
81,4099,,,,,0.6721746325492859,0.5795880556106567
82,4149,,,0.9805098176002502,0.21289855241775513,,
82,4149,,,,,0.6721388101577759,0.579586923122406
83,4199,,,0.984691321849823,0.21864427626132965,,
83,4199,,,,,0.672151505947113,0.57957923412323
84,4249,,,0.9837102890014648,0.1955529898405075,,
84,4249,,,,,0.6721476316452026,0.5795888304710388
85,4299,,,0.986066997051239,0.18669138848781586,,
85,4299,,,,,0.6721677184104919,0.5796009302139282
86,4349,,,0.9826807379722595,0.18155287206172943,,
86,4349,,,,,0.6721775531768799,0.5795923471450806
87,4399,,,0.9830875396728516,0.22750847041606903,,
87,4399,,,,,0.6721860766410828,0.5795923471450806
88,4449,,,0.9856563210487366,0.19544687867164612,,
88,4449,,,,,0.6721456050872803,0.5795900821685791
89,4499,,,0.987326979637146,0.1630721241235733,,
89,4499,,,,,0.67216557264328,0.5795993208885193
90,4549,,,0.9869750738143921,0.15557309985160828,,
90,4549,,,,,0.672123372554779,0.5796095132827759
91,4599,,,0.9831628203392029,0.18089111149311066,,
91,4599,,,,,0.6721534729003906,0.5796002149581909
92,4649,,,0.9799165725708008,0.1836351454257965,,
92,4649,,,,,0.672143280506134,0.5796054005622864
93,4699,,,0.986193060874939,0.15625248849391937,,
93,4699,,,,,0.6721616983413696,0.579608678817749
94,4749,,,0.9807335734367371,0.19840313494205475,,
94,4749,,,,,0.6721698641777039,0.5796187520027161
95,4799,,,0.9874343872070312,0.17109638452529907,,
95,4799,,,,,0.6721672415733337,0.5796242356300354
96,4849,,,0.9845218658447266,0.1646043211221695,,
96,4849,,,,,0.6721073389053345,0.5796345472335815
97,4899,,,0.9851345419883728,0.164413183927536,,
97,4899,,,,,0.6721255779266357,0.5796404480934143
98,4949,,,0.9779689311981201,0.18461580574512482,,
98,4949,,,,,0.6721290349960327,0.579652726650238
99,4999,,,0.9832985401153564,0.20378893613815308,,
99,4999,,,,,0.6721115708351135,0.579646646976471
100,5000,0.6346065402030945,0.7879588007926941,,,,
